"Date","Ptot","Evap","Discharge","Temp"
1982-01-01,59.7100678243949,8.40463817574726,49.5613830508475,2.39900629032258
1982-02-01,40.8035642887626,14.5610875459485,44.664406779661,4.54691446428571
1982-03-01,96.0356948746915,29.396001578387,53.6910101694915,5.55702580645161
1982-04-01,31.1524125823602,50.1790523334268,44.8840677966102,7.9989955
1982-05-01,40.2846029985363,80.0485782755202,29.4960813559322,11.1665958064516
1982-06-01,107.52389098646,105.847933378714,19.5791186440678,15.4686013333333
1982-07-01,43.4713024382309,108.439080933985,13.4930440677966,16.0766427419355
1982-08-01,89.5330125002954,89.9398408244344,10.9537627118644,15.4741524193548
1982-09-01,73.7607380773127,60.8640629174276,8.13243661016949,14.3415816666667
1982-10-01,108.318943072034,30.6349924411819,8.32632406779661,9.71044564516129
1982-11-01,115.545157273981,15.4520933309791,11.9718183050847,7.55998066666667
1982-12-01,96.8570894192755,8.0538223484023,34.2905491525424,4.15313016129032
1983-01-01,91.5722515596174,11.855415427603,45.8212881355932,6.25182887096774
1983-02-01,20.7836028120837,9.8964492475746,39.5419118644068,1.26405660714286
1983-03-01,55.0902841224704,29.7746329857226,33.5495593220339,5.72918967741936
1983-04-01,88.0548920792424,43.9459001467981,28.3392,6.31679983333333
1983-05-01,112.154920300352,73.1772791697954,39.9402305084746,9.87064338709677
1983-06-01,36.7927098597465,99.9379868409848,33.0106576271186,14.3121705
1983-07-01,62.1154686624362,127.925067588785,20.4431186440678,19.8666858064516
1983-08-01,28.8805604350026,96.7683898639249,15.5695728813559,17.2069546774194
1983-09-01,94.0762182727911,57.6449532906229,11.8558372881356,13.4161493333333
1983-10-01,75.4423316644708,31.7722932692651,9.73274033898305,9.87084741935484
1983-11-01,38.8969274587595,14.4990717447485,7.66119050847458,6.89874716666667
1983-12-01,76.6894243379497,8.88478908934777,8.44874847457627,5.12992129032258
1984-01-01,140.625648521669,9.01582489043736,24.5170983050847,3.59799661290323
1984-02-01,44.0820194533563,12.9049075609254,50.3111593220339,3.13263327586207
1984-03-01,54.8729445212903,25.7419130839799,41.808813559322,4.1787835483871
1984-04-01,0.849483912502385,50.7409450866561,29.3349966101695,7.84527083333333
1984-05-01,96.5105536275661,71.1590482939465,22.0803254237288,9.37096435483871
1984-06-01,30.2913257773219,101.89692505056,15.634006779661,14.6659136666667
1984-07-01,19.0174185853449,110.000213849685,11.495593220339,16.4750524193548
1984-08-01,45.2886177353258,96.2127985032515,8.81514305084746,17.3029346774194
1984-09-01,123.322199364069,57.8413432165851,7.72123118644068,13.6075428333333
1984-10-01,82.4403787278257,32.0488780844977,6.42845288135593,10.7274377419355
1984-11-01,127.570676233224,14.8713357054519,8.17168271186441,7.60793483333333
1984-12-01,94.4158571992207,8.64574600612308,18.0004881355932,4.80493596774193
1985-01-01,68.3020872596607,5.73815081901521,39.3720406779661,0.0914606451612904
1985-02-01,42.8030548057638,10.6063708496229,45.3175322033898,1.74640142857143
1985-03-01,60.5641356787583,25.5016996366216,41.1527593220339,4.19843596774194
1985-04-01,42.3658054409126,50.0867831218056,29.4433627118644,8.10650416666667
1985-05-01,58.1332747969292,76.1428888076413,26.710779661017,10.4275967741935
1985-06-01,113.103744177802,90.4153782085308,22.373206779661,12.4756925
1985-07-01,81.4766463690905,106.862871736372,19.3243118644068,15.7621291935484
1985-08-01,94.6155520781763,84.2971401315331,15.815593220339,14.3469537096774
1985-09-01,26.0554173053964,59.5173294042241,12.1135728813559,14.1400031666667
1985-10-01,41.8404643761131,32.8081109949272,11.2144271186441,10.3441980645161
1985-11-01,45.6609349122396,10.7888724265753,9.30542644067797,3.83646333333333
1985-12-01,124.681554388945,9.94896322780228,14.1959593220339,6.24191983870968
1986-01-01,117.825977145243,8.6170221511149,38.6456949152542,3.19689564516129
1986-02-01,6.74108000741856,4.6956442170897,43.9614915254237,-1.88700232142857
1986-03-01,69.6354386000871,26.8513463303701,36.4666576271186,4.49596903225806
1986-04-01,65.8141194319425,40.1292976287966,27.0680949152542,5.30701266666667
1986-05-01,88.8418853566328,75.0532492132111,30.7525423728814,10.2546570967742
1986-06-01,19.2074885948232,100.712396564627,25.5538983050847,14.4490576666667
1986-07-01,43.7434699814437,105.561354200443,19.6992,15.5008583870968
1986-08-01,126.095551769081,80.9092925386686,16.5858711864407,13.4804333870968
1986-09-01,41.3724686537765,49.4518909710485,12.605613559322,10.806015
1986-10-01,72.7857977576383,33.0327295062887,8.99965830508475,10.6650696774194
1986-11-01,116.227511581169,14.7097332427044,10.8524257627119,7.3251855
1986-12-01,110.898194285078,9.61790697881512,26.3300338983051,5.85190467741935
1987-01-01,15.1360983701894,5.69513562417328,41.4925016949153,0.116322741935484
1987-02-01,57.4658386418049,12.8490274523334,31.5111050847458,3.32462267857143
1987-03-01,70.6179351407863,25.0997662057754,33.0458033898305,3.88487177419355
1987-04-01,63.8289045713613,57.2743188110631,36.8327593220339,9.7044465
1987-05-01,43.4794986598638,73.133746921142,33.6022779661017,9.8252864516129
1987-06-01,101.095337895028,92.3903491740125,23.6120949152542,12.852164
1987-07-01,60.5743275709676,106.078877845906,15.9532474576271,15.6060743548387
1987-08-01,25.5092004181878,89.6801431607012,12.3654508474576,15.5982158064516
1987-09-01,56.1701973003932,58.8118001543569,9.49814237288136,13.6042951666667
1987-10-01,139.933730063862,30.5571180959721,9.74621288135593,9.50603564516129
1987-11-01,71.670709966975,13.3931302968439,11.9557098305085,6.090276
1987-12-01,41.9776409281981,8.82617113106666,19.4033898305085,5.08120483870968
1988-01-01,122.093052395206,10.5102960407812,32.5625491525424,5.00528870967742
1988-02-01,56.2833107515567,14.7765291793175,57.6595525423729,4.15355862068966
1988-03-01,77.6959889341031,32.160097911657,48.6798101694915,6.23246903225806
1988-04-01,37.3684920412344,48.85414974215,31.2592271186441,7.5378715
1988-05-01,36.4233384014994,81.5010777638152,23.7702508474576,11.5112422580645
1988-06-01,47.7583398951198,98.1202776528988,16.5858711864407,13.9385878333333
1988-07-01,115.693835177224,97.6425016108166,13.3729627118644,14.044084516129
1988-08-01,78.7040132569148,84.9430783053393,9.82206915254237,14.5856685483871
1988-09-01,51.9614378688108,55.9484431929386,8.28649220338983,13.0069816666667
1988-10-01,102.633703354247,31.3295568368568,8.30494372881356,10.3344414516129
1988-11-01,36.9433825097402,11.7837295996212,8.26774779661017,4.98451416666667
1988-12-01,16.5005662207033,10.5137337538722,9.81445423728814,7.01020225806452
1989-01-01,47.4872103351546,11.1817878587323,11.1265627118644,5.61168451612903
1989-02-01,74.6015680732624,16.1568559291804,11.6068881355932,5.52361375
1989-03-01,74.9053408113745,34.2337356302602,23.3660745762712,7.24721758064516
1989-04-01,72.1555972091179,42.8391279077114,28.6262237288136,6.13433083333333
1989-05-01,27.1046109926999,88.8364536420236,24.6342508474576,13.0383269354839
1989-06-01,37.6782814895089,100.073974580305,17.4352271186441,14.3149896666667
1989-07-01,52.1218014526847,119.962949033719,12.5587525423729,18.3216127419355
1989-08-01,41.0873978384031,93.3472779845037,9.19618169491525,16.3582748387097
1989-09-01,35.8560159610985,61.4108181409568,6.41585898305085,14.6067971666667
1989-10-01,87.5026861179685,33.6036863001648,5.39604610169491,11.266774516129
1989-11-01,49.5143335026542,13.4548521763979,4.57509966101695,6.01573483333333
1989-12-01,151.544509035438,8.66771504752681,6.77170983050847,4.91233209677419
1990-01-01,104.812316970466,11.9710302943222,10.8225518644068,6.32395016129032
1990-02-01,134.381213475205,18.9676954475747,40.1686779661017,7.12817142857143
1990-03-01,19.391955415509,35.1955604861429,45.5108338983051,7.63210967741936
1990-04-01,37.6823808950656,48.300919239046,27.8940203389831,7.42648366666667
